"hotelNo","hotelName","address1","address2","postalCode","areaCode","areaName","","","","","","","","","","","","",""
"41851","ホテルマイステイズ神田","東京都","千代田区岩本町1丁目2-2","101-0032","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"142653","安心お宿　Ｔｏｋｙｏ　Ｍａｎ　秋葉原電気街店","東京都","千代田区外神田1-2-12","101-0021","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"80764","住友不動産ホテル　ヴィラフォンテーヌ東京日本橋三越前","東京都","中央区日本橋本町1-7-6","103-0023","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"158365","アパホテル〈銀座　新富町駅前北〉","東京都","中央区新富１丁目12番11号","104-0041","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"184122","ＫＯＫＯ　ＨＯＴＥＬ　Ｐｒｅｍｉｅｒ　日本橋浜町","東京都","中央区日本橋浜町2-30-4","103-0007","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"197912","ふふ　東京　銀座（２０２５年１１月１６日開業）","東京都","中央区銀座1-7-10","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"198376","東京海員会館","東京都","中央区晴海3-7-1","104-0053","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"80761","住友不動産ホテル　ヴィラフォンテーヌ東京大手町","東京都","千代田区内神田1-8-8","101-0047","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"176563","ヴィアインプライム日本橋人形町（ＪＲ西日本グループ）","東京都","中央区日本橋小網町16番12号","103-0016","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"166107","三井ガーデンホテル日本橋プレミア","東京都","中央区日本橋室町3丁目4番地4号","103-0022","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"192117","ネストホテル東京八重洲","東京都","中央区日本橋兜町18-3","103-0026","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"168396","レム東京京橋","東京都","中央区京橋2-6-21","104-0031","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"151505","三井ガーデンホテル京橋","東京都","中央区京橋1-3-6","104-0031","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"41073","相鉄フレッサイン　日本橋茅場町","東京都","中央区日本橋茅場町1-3-10","103-0025","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"162965","ホテルＳＵＩ銀座京橋ｂｙＡＢＥＳＴ","東京都","中央区京橋3-9-1","104-0031","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"130007","ヴィアイン東銀座（ＪＲ西日本グループ）","東京都","中央区築地2丁目15番13号","104-0045","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"183932","東横ＩＮＮ東西線木場駅","東京都","江東区木場5-6-4","135-0042","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
"179937","アゴーラ　東京銀座","東京都","中央区銀座5-14-7","104-0061","A","東京駅・銀座・秋葉原・東陽町・葛西","","","","","","","","","","","","",""
